#timestamp tx ty tz qx qy qz qw
1578481025.474701 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1578481025.575574 -0.001401 -0.002934 -0.000986 -0.000339 0.000313 0.000607 1.000000
1578481025.676448 -0.000628 -0.002486 -0.001087 -0.000124 0.000046 0.000297 1.000000
1578481025.777320 0.000197 -0.002203 -0.001349 -0.000345 -0.000085 0.000439 1.000000
1578481025.878191 -0.000629 -0.001773 -0.001795 -0.000234 -0.000104 0.000270 1.000000
1578481025.979064 0.000134 -0.001252 -0.000336 -0.000473 0.000184 0.000608 1.000000
1578481026.079772 -0.000571 -0.000884 -0.002055 -0.000267 -0.000160 0.000533 1.000000
1578481026.180645 0.001157 -0.001547 -0.002414 -0.000226 -0.000303 0.000332 1.000000
1578481026.281518 -0.000015 -0.000960 -0.003796 -0.000030 -0.000557 0.000335 1.000000
1578481026.382391 -0.001044 -0.001584 -0.001957 -0.000027 0.000103 0.000373 1.000000
1578481026.483264 -0.001694 -0.001154 -0.002564 -0.000144 -0.000173 0.000208 1.000000
1578481026.584138 -0.002844 -0.002239 -0.002553 -0.000033 -0.000390 -0.000086 1.000000
1578481026.685012 -0.002118 -0.001349 -0.002277 -0.000030 -0.000227 0.000171 1.000000
1578481026.785885 -0.002225 -0.000956 -0.003276 0.000103 -0.000510 -0.000147 1.000000
1578481026.886758 -0.002098 -0.000806 -0.003549 -0.000013 -0.000825 -0.001608 0.999998
1578481026.987631 -0.000328 -0.001278 -0.004574 0.000135 -0.000977 -0.001618 0.999998
1578481027.088333 -0.001510 -0.000812 -0.002708 0.000021 -0.000447 -0.001413 0.999999
1578481027.189207 -0.004404 -0.005624 -0.000584 0.000147 -0.001041 -0.000913 0.999999
1578481027.290080 -0.005654 -0.003325 -0.001307 -0.000101 -0.000362 0.000465 1.000000
1578481027.390954 -0.002482 0.000702 -0.002268 -0.000270 0.000381 0.000865 1.000000
1578481027.491827 -0.011662 -0.001523 0.000765 -0.000613 -0.001796 0.003076 0.999993
